出口国,进口国,税则号,商品名称,关税
US,CN,01059991,超过185克的非改良种用鸭,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01059992,超过185克的非改良种用鹅,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01059993,超过185克的非改良种用珍珠鸡,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01059994,超过185克的非改良种用火鸡,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01061110,改良种用灵长目哺乳动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01061190,其他灵长目哺乳动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01061211,改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；改良种用海牛及儒艮（海牛目哺乳动物）,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01061219,非改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；非改良种用海牛及儒艮（海牛目哺乳动物）,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106122110,"改良种用濒危海豹、海狮及海象（鳍足亚目哺乳动物）改良种用海豹、海狮及海象（鳍足亚目哺乳动物）海豹,海狮及海象（鳍足亚目哺乳动物）鲸、海豚及鼠海豚（鲸目哺乳动物）；海牛及儒艮（海牛目哺乳动物）；海豹、海狮及海象（鳍足亚目哺乳动物）哺乳动物其他活动物",进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106122190,"改良种用非濒危海豹、海狮及海象（鳍足亚目哺乳动物）改良种用海豹、海狮及海象（鳍足亚目哺乳动物）海豹,海狮及海象（鳍足亚目哺乳动物）鲸、海豚及鼠海豚（鲸目哺乳动物）；海牛及儒艮（海牛目哺乳动物）；海豹、海狮及海象（鳍足亚目哺乳动物）哺乳动物其他活动物",进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106122910,"非改良种用濒危海豹、海狮及海象（鳍足亚目哺乳动物）非改良种用海豹、海狮及海象（鳍足亚目哺乳动物）
海豹,海狮及海象（鳍足亚目哺乳动物）鲸、海豚及鼠海豚（鲸目哺乳动物）；海牛及儒艮（海牛目哺乳动物）；海豹、海狮及海象（鳍足亚目哺乳动物）哺乳动物其他活动物",进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106122990,"非改良种用非濒危海豹、海狮及海象（鳍足亚目哺乳动物）非改良种用海豹、海狮及海象（鳍足亚目哺乳动物）
海豹,海狮及海象（鳍足亚目哺乳动物）鲸、海豚及鼠海豚（鲸目哺乳动物）；海牛及儒艮（海牛目哺乳动物）；海豹、海狮及海象（鳍足亚目哺乳动物）哺乳动物其他活动物",进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106131010,改良种用濒危骆驼及其他濒危骆驼科动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106131090,其他改良种用骆驼及其他骆驼科动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106139010,其他濒危骆驼及其他濒危骆驼科动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106139090,其他骆驼及其他骆驼科动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106141010,改良种用濒危野兔,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106141090,改良种用家兔及其他改良种用野兔,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106149010,其他濒危野兔,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106149090,其他家兔及野兔,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106191010,其他改良种用濒危哺乳动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106191020,改良种用梅花鹿、马鹿、驯鹿、水貂、银狐、北极狐、貉（濒危除外）改良种用其他哺乳动物其他活动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106191090,其他改良种用哺乳动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106199010,其他濒危哺乳动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106199090,其他哺乳动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01062011,改良种用鳄鱼苗,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106201910,其他改良种用濒危爬行动物其他改良种用爬行动物改良种用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106201990,其他改良种用非濒危爬行动物其他改良种用爬行动物改良种用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106202011,食用濒危蛇食用蛇食用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106202019,食用非濒危蛇食用蛇食用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106202021,食用濒危龟鳖食用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106202029,其他食用龟鳖食用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106202091,其他食用濒危爬行动物食用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106202099,其他食用爬行动物食用爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106209010,其他濒危爬行动物其他爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106209090,其他爬行动物其他爬行动物（包括蛇及龟鳖）其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01063110,改良种用猛禽,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
